Date,Open,High,Low,Close,Adj Close,Volume
2019-06-03,22.700001,23.000000,22.264999,22.330000,22.330000,4396300
2019-06-04,22.340000,22.350000,21.000000,21.870001,21.870001,6103600
2019-06-05,22.129999,22.959999,21.900000,22.879999,22.879999,6698600
2019-06-06,22.530001,22.920000,22.120001,22.840000,22.840000,4258600
2019-06-07,22.889999,23.389999,22.830000,23.030001,23.030001,4412200
2019-06-10,22.900000,23.010000,22.209999,22.740000,22.740000,4863200
2019-06-11,22.980000,23.059999,22.400000,22.680000,22.680000,3300300
2019-06-12,22.790001,23.180000,22.650000,23.030001,23.030001,4022400
2019-06-13,23.129999,24.165001,23.049999,24.049999,24.049999,7969500
2019-06-14,23.690001,24.000000,23.219999,23.459999,23.459999,4540100
2019-06-17,23.549999,24.059999,23.440001,23.540001,23.540001,4466200
2019-06-18,23.889999,24.049999,23.629999,23.840000,23.840000,3643500
2019-06-19,24.000000,24.209999,23.889999,24.200001,24.200001,3929200
2019-06-20,24.200001,24.520000,23.900000,24.520000,24.520000,5767200
2019-06-21,24.270000,25.180000,24.215000,25.010000,25.010000,13559800
2019-06-24,25.100000,25.420000,24.715000,24.799999,24.799999,5463500
2019-06-25,25.000000,25.000000,23.924999,23.969999,23.969999,5583200
2019-06-26,24.200001,24.760000,24.160000,24.620001,24.620001,6385400
2019-06-27,24.709999,25.240000,24.680000,24.950001,24.950001,5424500
2019-06-28,24.889999,25.065001,24.240000,25.049999,25.049999,17831900
2019-07-01,25.309999,25.415001,24.934999,25.010000,25.010000,4195100
2019-07-02,25.000000,25.090000,24.639999,25.000000,25.000000,3702200
2019-07-03,24.750000,25.110001,24.330000,25.080000,25.080000,3734400
2019-07-05,24.930000,25.250000,24.910000,25.160000,25.160000,2224100
2019-07-08,25.080000,25.309999,24.719999,24.950001,24.950001,3594800
2019-07-09,24.840000,25.230000,24.840000,25.209999,25.209999,3058400
2019-07-10,25.170000,25.680000,25.066000,25.510000,25.510000,5798300
2019-07-11,25.530001,26.049999,25.424999,25.959999,25.959999,4417700
2019-07-12,26.040001,26.150000,25.830000,25.870001,25.870001,2711400
2019-07-15,25.959999,26.200001,25.773001,26.129999,26.129999,5305200
2019-07-16,26.090000,26.139999,25.150000,25.450001,25.450001,3954200
2019-07-17,25.440001,25.719999,25.020000,25.049999,25.049999,2526500
2019-07-18,25.020000,25.219999,24.709999,24.980000,24.980000,3132500
2019-07-19,25.090000,25.170000,24.389999,24.430000,24.430000,2859300
2019-07-22,24.510000,24.719999,24.170000,24.400000,24.400000,2758900
2019-07-23,24.700001,24.700001,24.170000,24.230000,24.230000,2521100
2019-07-24,24.309999,24.750000,24.139999,24.680000,24.680000,1871900
2019-07-25,24.719999,24.780001,24.459999,24.549999,24.549999,1979200
2019-07-26,24.690001,24.969999,24.520000,24.629999,24.629999,2170200
2019-07-29,24.639999,24.799999,23.459999,23.940001,23.940001,3036800
2019-07-30,23.799999,23.923000,23.615000,23.799999,23.799999,1991400
2019-07-31,23.840000,24.040001,23.330000,23.559999,23.559999,2775000
2019-08-01,23.559999,24.230000,23.389999,23.500000,23.500000,2947800
2019-08-02,23.320000,23.430000,22.790001,23.020000,23.020000,2728400
2019-08-05,22.330000,22.330000,21.510000,21.809999,21.809999,5726900
2019-08-06,22.240000,22.590000,21.469999,21.700001,21.700001,3814900
2019-08-07,21.090000,21.200001,20.469999,20.760000,20.760000,6883000
2019-08-08,21.120001,21.580000,20.959999,21.459999,21.459999,9409600
2019-08-09,20.540001,20.566000,18.400000,18.709999,18.709999,19604500
2019-08-12,18.700001,18.990000,18.200001,18.219999,18.219999,6573200
2019-08-13,18.129999,18.430000,17.950001,18.370001,18.370001,7308200
2019-08-14,17.780001,17.990000,17.375000,17.570000,17.570000,6310900
2019-08-15,17.450001,17.639999,17.200001,17.260000,17.260000,5200100
2019-08-16,17.320000,17.600000,17.230000,17.480000,17.480000,2572900
2019-08-19,17.660000,17.920000,17.620001,17.790001,17.790001,5017500
2019-08-20,17.680000,18.000000,17.600000,17.799999,17.799999,3304900
2019-08-21,18.000000,18.309999,17.870001,17.920000,17.920000,3149000
2019-08-22,17.950001,18.059999,17.639999,18.000000,18.000000,2210200
2019-08-23,17.889999,18.209999,17.712000,17.760000,17.760000,3876400
2019-08-26,17.920000,17.959999,17.475000,17.700001,17.700001,2493600
2019-08-27,17.850000,18.000000,17.455000,17.530001,17.530001,2024800
2019-08-28,17.590000,17.700001,17.290001,17.650000,17.650000,1932000
2019-08-29,17.820000,18.150000,17.709999,17.900000,17.900000,2310900
2019-08-30,18.070000,18.070000,17.639999,17.900000,17.900000,1543700
2019-09-03,17.690001,17.995001,17.681999,17.950001,17.950001,2787400
2019-09-04,18.110001,18.490000,18.040001,18.379999,18.379999,3168800
2019-09-05,18.549999,18.950001,18.510000,18.860001,18.860001,3402400
2019-09-06,18.959999,19.150000,18.770000,18.969999,18.969999,2468500
2019-09-09,19.030001,19.480000,18.885000,19.480000,19.480000,3878800
2019-09-10,19.240000,20.110001,19.070000,20.070000,20.070000,4615000
2019-09-11,20.190001,20.570000,19.900000,20.320000,20.320000,4552300
2019-09-12,20.410000,20.440001,19.895000,20.020000,20.020000,3160300
2019-09-13,19.920000,20.389999,19.915001,20.059999,20.059999,6588600
2019-09-16,19.830000,20.459999,19.740000,20.400000,20.400000,2806400
2019-09-17,20.420000,20.950001,20.320000,20.879999,20.879999,4334300
2019-09-18,20.760000,21.000000,20.590000,20.959999,20.959999,3691800
2019-09-19,20.990000,21.100000,20.629999,21.030001,21.030001,3203600
2019-09-20,21.160000,21.469999,20.910000,21.030001,21.030001,5691200
2019-09-23,20.889999,20.889999,19.875000,20.275000,20.275000,4685400
2019-09-24,20.430000,20.770000,19.700001,19.790001,19.790001,4664600
2019-09-25,19.850000,20.000000,19.190001,19.750000,19.750000,2789000
2019-09-26,20.320000,20.889999,19.950001,20.070000,20.070000,4352800
2019-09-27,20.120001,20.270000,19.459999,19.770000,19.770000,3667200
2019-09-30,19.790001,20.280001,19.709999,20.170000,20.170000,2142800
2019-10-01,20.230000,20.340000,19.790001,19.950001,19.950001,1876600
2019-10-02,19.760000,19.900000,19.209999,19.260000,19.260000,2572000
2019-10-03,19.150000,19.559999,18.780001,19.469999,19.469999,2541400
2019-10-04,19.610001,19.900000,19.379999,19.469999,19.469999,2447100
2019-10-07,19.500000,19.889999,19.360001,19.700001,19.700001,1907800
2019-10-08,19.660000,19.660000,19.120001,19.275000,19.275000,1785100
2019-10-09,19.549999,19.600000,18.990000,19.040001,19.040001,1684800
2019-10-10,18.959999,19.120001,18.670000,18.760000,18.760000,3079900
2019-10-11,18.990000,19.559999,18.910000,19.264999,19.264999,3689400
2019-10-14,19.120001,19.459999,18.959999,19.340000,19.340000,3890100
2019-10-15,19.340000,19.660000,19.190001,19.415001,19.415001,1911000
2019-10-16,19.250000,19.330000,18.799999,18.940001,18.940001,2723200
2019-10-17,18.950001,19.170000,18.840000,18.940001,18.940001,1743600
2019-10-18,18.840000,18.950001,18.309999,18.415001,18.415001,2533700
2019-10-21,18.590000,19.180000,18.507000,18.920000,18.920000,2989700
2019-10-22,19.510000,19.660000,19.059999,19.320000,19.320000,2162500
2019-10-23,19.250000,19.530001,19.180000,19.209999,19.209999,1485800
2019-10-24,19.430000,19.570000,19.270000,19.549999,19.549999,1329200
2019-10-25,19.540001,19.870001,19.330000,19.730000,19.730000,1569700
2019-10-28,19.900000,20.155001,19.740000,20.070000,20.070000,1368700
2019-10-29,19.969999,20.120001,19.796000,20.059999,20.059999,1438300
2019-10-30,20.219999,20.230000,19.830000,20.049999,20.049999,1287100
2019-10-31,20.000000,20.049999,19.629999,19.820000,19.820000,1862500
2019-11-01,19.879999,20.500000,19.750000,20.250000,20.250000,1876700
2019-11-04,20.600000,20.809999,20.420000,20.540001,20.540001,2139500
2019-11-05,20.780001,20.950001,20.549999,20.870001,20.870001,1762100
2019-11-06,20.830000,20.834999,20.459999,20.559999,20.559999,2515700
2019-11-07,20.660000,21.200001,20.410000,20.959999,20.959999,6738000
2019-11-08,21.030001,21.100000,18.860001,19.795000,19.795000,9567900
2019-11-11,19.700001,19.789000,18.760000,18.860001,18.860001,6272200
2019-11-12,18.840000,19.280001,18.799999,18.910000,18.910000,3367800
2019-11-13,18.840000,19.650000,18.260000,19.450001,19.450001,9185300
2019-11-14,19.469999,19.503000,18.740000,18.840000,18.840000,4549000
2019-11-15,18.910000,19.240000,18.684999,19.209999,19.209999,4428000
2019-11-18,19.110001,19.205000,18.690001,18.969999,18.969999,3210300
2019-11-19,18.889999,19.129999,18.629999,19.030001,19.030001,3661800
2019-11-20,18.870001,19.150000,18.730000,18.930000,18.930000,3757900
2019-11-21,19.000000,19.270000,18.469999,18.520000,18.520000,4144000
2019-11-22,18.660000,19.090000,18.570000,18.980000,18.980000,2860400
2019-11-25,18.990000,19.320000,18.930000,19.030001,19.030001,3231600
2019-11-26,18.990000,19.190001,18.799999,18.900000,18.900000,4500700
2019-11-27,18.930000,18.969999,18.620001,18.700001,18.700001,2726700
2019-11-29,18.610001,18.660000,18.480000,18.490000,18.490000,1351000
2019-12-02,18.500000,18.579000,17.969999,18.350000,18.350000,3957900
2019-12-03,18.090000,18.309999,17.840000,18.200001,18.200001,5945400
2019-12-04,18.330000,18.400000,18.070000,18.260000,18.260000,5077700
2019-12-05,18.260000,18.370001,17.940001,18.059999,18.059999,3828800
2019-12-06,18.139999,18.459999,18.080000,18.270000,18.270000,3316700
2019-12-09,18.270000,18.445000,18.059999,18.090000,18.090000,3073500
2019-12-10,18.040001,18.120001,17.790001,17.809999,17.809999,3518200
2019-12-11,17.400000,17.500000,16.950001,17.240000,17.240000,8195600
2019-12-12,17.150000,17.219999,16.625000,16.750000,16.750000,6194000
2019-12-13,16.750000,17.025000,16.080000,16.799999,16.799999,4183100
2019-12-16,16.889999,17.280001,16.889999,17.120001,17.120001,3125300
2019-12-17,17.170000,17.209999,16.650000,17.160000,17.160000,4920000
2019-12-18,17.129999,17.575001,17.080000,17.200001,17.200001,2787700
2019-12-19,17.139999,18.799999,17.100000,18.160000,18.160000,12817600
2019-12-20,18.209999,18.245001,17.830000,17.860001,17.860001,5345000
2019-12-23,17.850000,17.940001,17.690001,17.775000,17.775000,3472500
2019-12-24,17.770000,17.975000,17.750000,17.780001,17.780001,911300
2019-12-26,17.799999,18.045000,17.700001,17.780001,17.780001,2270700
2019-12-27,17.910000,18.000000,17.434999,17.719999,17.719999,2320900
2019-12-30,17.650000,17.837000,17.375000,17.600000,17.600000,2958500
2019-12-31,17.510000,18.030001,17.510000,17.910000,17.910000,2817400
2020-01-02,18.059999,18.459999,17.975000,18.090000,18.090000,4186500
2020-01-03,17.980000,18.200001,17.820000,18.000000,18.000000,2731500
2020-01-06,18.070000,18.610001,17.980000,18.530001,18.530001,4524300
2020-01-07,18.620001,18.770000,18.190001,18.530001,18.530001,2902200
2020-01-08,18.430000,18.629999,18.219999,18.459999,18.459999,2994300
2020-01-09,18.430000,18.635000,18.219999,18.370001,18.370001,3507000
2020-01-10,18.010000,18.059999,17.555000,17.820000,17.820000,5614800
2020-01-13,17.969999,18.040001,17.809999,17.860001,17.860001,2415300
2020-01-14,17.860001,18.059999,17.770000,18.004999,18.004999,2262700
2020-01-15,18.030001,18.860001,17.950001,18.309999,18.309999,5214700
2020-01-16,18.490000,18.570000,17.924999,18.000000,18.000000,3353200
2020-01-17,18.070000,18.195000,17.850000,18.020000,18.020000,2774200
2020-01-21,17.969999,17.990000,17.520000,17.639999,17.639999,3743000
2020-01-22,17.690001,17.940001,17.500000,17.530001,17.530001,2477100
2020-01-23,17.540001,17.740000,17.184999,17.709999,17.709999,3265500
2020-01-24,17.600000,17.980000,17.402500,17.545000,17.545000,1327184
